entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.64,0.64,0.15,1,10800,0.005,,0.005,0.0015,8,True,882,504,-3.8758152009918323,-0.15503260803967328,-0.9982964146251768,13.962055405267018,0.9215629013615769,0.025078972761251796,-0.004394348300444249,0.4748348214285714,235,0,0,"{""profit_trailing"": 298, ""time_limit"": 358, ""stop_loss"": 226}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,0.005,0.0025,8,True,858,493,-4.028466354329009,-0.16113865417316034,-1.0297982623132549,13.834511561577985,0.916153289528233,0.025078972761251796,-0.004695182231152699,0.4859375,232,0,0,"{""profit_trailing"": 247, ""time_limit"": 393, ""stop_loss"": 218}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,,,8,True,679,381,1.8864004220001291,0.07545601688000517,0.4743355353087057,10.25048978600904,1.052504731220553,0.015682030555005468,0.002778203861561315,0.5146875,141,0,0,"{""time_limit"": 602, ""stop_loss"": 77}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,,0.0015,8,True,679,381,1.8864004220001291,0.07545601688000517,0.4743355353087057,10.25048978600904,1.052504731220553,0.015682030555005468,0.002778203861561315,0.5146875,141,0,0,"{""time_limit"": 602, ""stop_loss"": 77}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,,0.0025,8,True,679,381,1.8864004220001291,0.07545601688000517,0.4743355353087057,10.25048978600904,1.052504731220553,0.015682030555005468,0.002778203861561315,0.5146875,141,0,0,"{""time_limit"": 602, ""stop_loss"": 77}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,0.003,,8,True,679,381,1.8864004220001291,0.07545601688000517,0.4743355353087057,10.25048978600904,1.052504731220553,0.015682030555005468,0.002778203861561315,0.5146875,141,0,0,"{""time_limit"": 602, ""stop_loss"": 77}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,0.003,0.0015,8,True,904,601,-3.050681688626704,-0.12202726754506817,-0.8241645146150364,12.846564976563737,0.92577855746736,0.02540487496853046,-0.003374647885649001,0.44983035714285713,204,0,0,"{""profit_trailing"": 507, ""time_limit"": 295, ""stop_loss"": 102}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,0.003,0.0025,8,True,860,519,-3.24769018403482,-0.12990760736139279,-0.8504802284997951,13.930230565872614,0.9190883352236504,0.015241150934221058,-0.003776383934924215,0.4717232142857143,206,0,0,"{""profit_trailing"": 426, ""time_limit"": 338, ""stop_loss"": 96}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,0.005,,8,True,679,381,1.8864004220001291,0.07545601688000517,0.4743355353087057,10.25048978600904,1.052504731220553,0.015682030555005468,0.002778203861561315,0.5146875,141,0,0,"{""time_limit"": 602, ""stop_loss"": 77}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,0.005,0.0015,8,True,779,476,0.8693364102664144,0.03477345641065657,0.2243452616899516,11.59923165440432,1.0211624904209393,0.033911500495826905,0.0011159645831404514,0.47816964285714286,189,0,0,"{""profit_trailing"": 274, ""time_limit"": 409, ""stop_loss"": 96}",0.13733482142857142
